date,1. open,2. high,3. low,4. close,5. volume
2021-06-03,165.41,167.245,164.661,166.17,13354653.0
2021-06-04,166.21,166.67,165.03,166.44,8510831.0
2021-06-07,167.0,167.1,165.14,165.66,7267196.0
2021-06-08,164.49,165.76,163.1618,165.0,10370719.0
2021-06-09,164.14,164.22,162.28,162.94,12377367.0
2021-06-10,164.36,165.24,160.31,160.4,12119419.0
2021-06-11,160.43,161.199,159.06,160.29,13683774.0
2021-06-14,160.15,160.33,156.655,157.57,19917855.0
2021-06-15,156.7,156.92,154.13,155.18,24485479.0
2021-06-16,154.73,157.62,153.11,156.27,24773291.0
2021-06-17,157.1,157.46,151.25,151.76,29722421.0
2021-06-18,149.3,149.7,147.56,147.92,43595659.0
2021-06-21,149.08,151.202,149.0201,150.43,18664796.0
2021-06-22,150.6,150.97,148.66,150.21,14251160.0
2021-06-23,150.2,152.04,150.09,151.12,12733326.0
2021-06-24,151.92,153.12,151.22,152.51,13733186.0
2021-06-25,152.59,154.495,151.6686,154.05,15484922.0
2021-06-28,153.7,154.48,152.1203,154.33,14125837.0
2021-06-29,155.0,156.31,153.61,154.14,14528708.0
2021-06-30,153.75,156.08,153.7097,155.54,12530993.0
2021-07-01,156.26,157.14,155.415,157.08,10479389.0
2021-07-02,155.95,156.32,155.12,156.03,11431349.0
2021-07-06,155.78,155.78,152.345,153.41,15083360.0
2021-07-07,152.01,154.2829,151.55,153.59,12271789.0
2021-07-08,151.61,152.53,150.04,150.94,17834574.0
2021-07-09,153.05,156.15,152.58,155.77,13694523.0
2021-07-12,154.35,159.1612,153.94,158.0,19940363.0
2021-07-13,156.05,157.39,153.5001,155.65,22671744.0
2021-07-14,155.95,157.28,152.95,155.12,14622833.0
2021-07-15,153.9,156.53,153.7,155.46,11539263.0
2021-07-16,155.96,156.28,151.02,151.91,14002741.0
2021-07-19,148.55,149.823,145.71,146.97,22172865.0
2021-07-20,146.52,151.12,146.3278,149.71,15385158.0
2021-07-21,152.05,153.65,151.36,152.86,12356686.0
2021-07-22,152.88,153.44,149.97,150.93,9913322.0
2021-07-23,151.48,152.84,150.25,150.64,9666101.0
2021-07-26,150.19,151.96,150.17,151.65,8207990.0
2021-07-27,150.4,152.49,149.8,151.45,11218727.0
2021-07-28,152.29,152.77,150.88,151.7,9217294.0
2021-07-29,153.14,153.87,151.91,153.0,9048750.0
2021-07-30,152.58,153.67,151.2,151.78,9805241.0
2021-08-02,152.03,154.45,151.07,151.17,10203157.0
2021-08-03,151.95,153.32,149.52,152.89,10394804.0
2021-08-04,151.25,153.37,150.91,151.24,10154973.0
2021-08-05,152.28,153.69,152.01,153.15,9151499.0
2021-08-06,155.19,157.82,155.11,157.5,13328750.0
2021-08-09,157.52,158.55,155.9,157.33,9516867.0
2021-08-10,156.74,159.975,156.31,159.26,8666998.0
2021-08-11,160.0,161.5,159.08,161.16,9156458.0
2021-08-12,161.88,162.37,160.5539,161.79,8849610.0
2021-08-13,161.79,162.16,159.57,159.98,8953523.0
2021-08-16,158.94,159.03,156.78,158.93,8759767.0
2021-08-17,157.57,158.86,155.27,157.01,9347213.0
2021-08-18,156.31,158.01,155.34,155.58,8065493.0
2021-08-19,153.16,155.56,153.01,154.28,9517737.0
2021-08-20,154.35,154.9,153.16,154.72,6974102.0
2021-08-23,155.33,157.09,155.24,156.7,7934587.0
2021-08-24,157.0,158.55,156.87,157.67,7670925.0
2021-08-25,158.51,161.78,157.8,160.92,11335040.0
2021-08-26,162.26,163.83,161.15,161.75,11027451.0
2021-08-27,161.75,163.16,161.26,163.05,8780185.0
2021-08-30,163.21,163.49,159.8801,160.44,7937561.0
2021-08-31,160.44,161.37,159.35,159.95,12340838.0
2021-09-01,160.22,160.76,158.97,159.72,8729920.0
2021-09-02,160.02,161.61,159.43,160.46,8815634.0
2021-09-03,160.39,160.89,159.145,159.49,7961223.0
2021-09-07,159.99,161.3814,158.96,159.21,9290968.0
2021-09-08,158.89,159.58,158.04,158.5,7852678.0
2021-09-09,158.27,160.8325,158.08,159.19,7904256.0
2021-09-10,160.56,160.7193,157.22,157.36,8311551.0
2021-09-13,158.53,160.05,158.07,159.86,10052807.0
2021-09-14,160.45,161.34,156.26,157.07,11685606.0
2021-09-15,156.72,158.69,156.47,158.16,11691485.0
2021-09-16,159.41,160.855,157.22,158.09,10880895.0
2021-09-17,157.38,159.01,157.0,157.68,25608018.0
2021-09-20,153.89,154.56,150.49,152.96,15819905.0
2021-09-21,153.53,154.55,152.5774,152.98,8999860.0
2021-09-22,155.2,157.25,155.1,155.91,11236150.0
2021-09-23,158.0,161.71,157.67,161.18,12336136.0
2021-09-24,161.44,163.59,160.82,163.04,10102432.0
2021-09-27,165.0,167.4,164.61,166.98,13220871.0
2021-09-28,167.7,169.3,165.66,166.08,13387886.0
2021-09-29,166.21,166.9,165.04,165.95,7777078.0
2021-09-30,166.92,166.99,162.79,163.69,13168016.0
2021-10-01,164.0,168.3,163.6,167.13,11284976.0
2021-10-04,166.97,170.437,165.73,166.95,14120044.0
2021-10-05,167.21,170.14,166.67,168.66,12292877.0
2021-10-06,167.99,169.1,166.0,169.02,8692607.0
2021-10-07,171.2,171.51,169.54,170.09,10195443.0
2021-10-08,170.02,171.34,169.295,170.22,8190144.0
2021-10-11,170.8,171.29,166.46,166.64,12154737.0
2021-10-12,165.75,166.6898,164.77,165.36,13032633.0
2021-10-13,164.07,165.41,160.6,161.0,22753485.0
